date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:48:11	56272/56272	U-----	200	untouched ('OK')	text/html	date:Tue,%2024%20Jan%202017%2000:30:45%20GMT	http://betsyhodges.org/	betsyhodges.org/index.html	(from )
18:48:12	121/121	---M-Z	-1	error ('Open%20error%20when%20decompressing%20(can%20not%20create%20temporary%20file%20/tmp0.z)')	text/plain	date:Wed,%2025%20Jan%202017%2018:48:10%20GMT	http://betsyhodges.org/robots.txt		(from )
18:48:14	305/305	U--M-Z	200	updated ('OK')	text/calendar	date:Wed,%2025%20Jan%202017%2018:48:13%20GMT	http://betsyhodges.org/events/?ical=1	betsyhodges.org/events/indexedf3.html	(from http://betsyhodges.org/)
18:48:15	42/42	---M-Z	405	error ('Method%20Not%20Allowed')	text/plain	date:Wed,%2025%20Jan%202017%2018:48:13%20GMT	http://betsyhodges.org/xmlrpc.php	betsyhodges.org/xmlrpc.php	(from http://betsyhodges.org/)
18:48:15	153201/153201	U-----	200	untouched ('OK')	text/css	date:Tue,%2010%20Jan%202017%2012:24:39%20GMT	http://betsyhodges.org/wp-content/cache/wpfc-minified/40a8639b459c864efc39d91a09cc8416/1484051079index.css	betsyhodges.org/wp-content/cache/wpfc-minified/40a8639b459c864efc39d91a09cc8416/1484051079index.css	(from http://betsyhodges.org/)
18:48:15	33274/33274	U--M-Z	200	updated ('OK')	application/rss+xml	etag:%226758a1f529cbc5cf1b731aff9095a802-gzip%22	http://betsyhodges.org/feed/	betsyhodges.org/feed/index.html	(from http://betsyhodges.org/)
18:48:16	7746/7746	U-----	200	untouched ('OK')	text/css	date:Tue,%2010%20Jan%202017%2012:24:39%20GMT	http://betsyhodges.org/wp-content/cache/wpfc-minified/587a0cae35691a7bb65e95850cc1d12d/1484051079index.css	betsyhodges.org/wp-content/cache/wpfc-minified/587a0cae35691a7bb65e95850cc1d12d/1484051079index.css	(from http://betsyhodges.org/)
18:48:16	595402/595402	U-----	200	untouched ('OK')	text/css	date:Sat,%2021%20Jan%202017%2014:44:32%20GMT	http://betsyhodges.org/wp-content/cache/wpfc-minified/659b710c1f65ad5c7a37570cce484567/1485009872index.css	betsyhodges.org/wp-content/cache/wpfc-minified/659b710c1f65ad5c7a37570cce484567/1485009872index.css	(from http://betsyhodges.org/)
18:48:16	726/726	U--M-Z	200	updated ('OK')	application/rss+xml	etag:%220f297627661ad17d046e42c054a887b8-gzip%22	http://betsyhodges.org/comments/feed/	betsyhodges.org/comments/feed/index.html	(from http://betsyhodges.org/)
18:48:16	107413/107413	U-----	200	untouched ('')	application/javascript	date:Wed,%2004%20Jan%202017%2017:47:05%20GMT	http://betsyhodges.org/wp-content/cache/wpfc-minified/f2d39a1fca620e07fd2cb97044b6c1b4/1483552025index.js	betsyhodges.org/wp-content/cache/wpfc-minified/f2d39a1fca620e07fd2cb97044b6c1b4/1483552025index.js	(from http://betsyhodges.org/)
18:48:16	694/694	U--M-Z	200	updated ('OK')	application/rss+xml	etag:%22275046d57adcac364f8a669f86e129de-gzip%22	http://betsyhodges.org/home-2/feed/	betsyhodges.org/home-2/feed/index.html	(from http://betsyhodges.org/)
18:48:17	77236/77236	U-----	200	untouched ('OK')	text/html	date:Tue,%2024%20Jan%202017%2013:33:44%20GMT	http://betsyhodges.org/2016/12/15/reelection-campaign-launch-announcement-speech/	betsyhodges.org/2016/12/15/reelection-campaign-launch-announcement-speech/index.html	(from http://betsyhodges.org/)
